second,Volt1,Volt2,Volt3,Volt4
-540.000E-03,,,,
-537.500E-03,,,,
-535.000E-03,,,,
-532.500E-03,,,,
-530.000E-03,,,,
-527.500E-03,,,,
-525.000E-03,,,,
-522.500E-03,,,,
-520.000E-03,,,,
-517.500E-03,,,,
-515.000E-03,,,,
-512.500E-03,,,,
-510.000E-03,,,,
-507.500E-03,,,,
-505.000E-03,,,,
-502.500E-03,,,,
-500.000E-03,,,,
-497.500E-03,,,,
-495.000E-03,,,,
-492.500E-03,,,,
-490.000E-03,,,,
-487.500E-03,,,,
-485.000E-03,,,,
-482.500E-03,,,,
-480.000E-03,,,,
-477.500E-03,,,,
-475.000E-03,,,,
-472.500E-03,,,,
-470.000E-03,,,,
-467.500E-03,,,,
-465.000E-03,,,,
-462.500E-03,,,,
-460.000E-03,,,,
-457.500E-03,,,,
-455.000E-03,,,,
-452.500E-03,,,,
-450.000E-03,,,,
-447.500E-03,,,,
-445.000E-03,,,,
-442.500E-03,,,,
-440.000E-03,,,,
-437.500E-03,,,,
-435.000E-03,,,,
-432.500E-03,,,,
-430.000E-03,,,,
-427.500E-03,,,,
-425.000E-03,,,,
-422.500E-03,,,,
-420.000E-03,,,,
-417.500E-03,,,,
-415.000E-03,,,,
-412.500E-03,,,,
-410.000E-03,,,,
-407.500E-03,,,,
-405.000E-03,,,,
-402.500E-03,,,,
-400.000E-03,,,,
-397.500E-03,,,,
-395.000E-03,,,,
-392.500E-03,,,,
-390.000E-03,,,,
-387.500E-03,,,,
-385.000E-03,,,,
-382.500E-03,,,,
-380.000E-03,,,,
-377.500E-03,,,,
-375.000E-03,,,,
-372.500E-03,,,,
-370.000E-03,,,,
-367.500E-03,,,,
-365.000E-03,,,,
-362.500E-03,,,,
-360.000E-03,,,,
-357.500E-03,,,,
-355.000E-03,,,,
-352.500E-03,,,,
-350.000E-03,,,,
-347.500E-03,,,,
-345.000E-03,,,,
-342.500E-03,,,,
-340.000E-03,,,,
-337.500E-03,,,,
-335.000E-03,,,,
-332.500E-03,,,,
-330.000E-03,,,,
-327.500E-03,+34.990E-03,+56.082E-03,+511.782E-03,+25.000E-03
-325.000E-03,+34.990E-03,+58.609E-03,+480.837E-03,+25.000E-03
-322.500E-03,+34.990E-03,+39.881E-03,+483.891E-03,-8.473E-03
-320.000E-03,+21.843E-03,+61.663E-03,+450.418E-03,+4.674E-03
-317.500E-03,+1.517E-03,+61.663E-03,+454.929E-03,+25.000E-03
-315.000E-03,+34.990E-03,+57.538E-03,+483.891E-03,+25.000E-03
-312.500E-03,+34.990E-03,+61.663E-03,+496.653E-03,+25.000E-03
-310.000E-03,+34.990E-03,+40.266E-03,+462.494E-03,+3.603E-03
-307.500E-03,+4.956E-03,+28.190E-03,+483.891E-03,-1.594E-03
-305.000E-03,+6.713E-03,+61.663E-03,+478.695E-03,+25.000E-03
-302.500E-03,+34.990E-03,+47.831E-03,+497.724E-03,+25.000E-03
-300.000E-03,+12.521E-03,+61.663E-03,+483.891E-03,+25.000E-03
-297.500E-03,+3.885E-03,+59.295E-03,+481.523E-03,-8.473E-03
-295.000E-03,+28.722E-03,+55.395E-03,+483.891E-03,-2.205E-03
-292.500E-03,+20.086E-03,+46.759E-03,+468.987E-03,+25.000E-03
-290.000E-03,+34.990E-03,+51.730E-03,+460.351E-03,+25.000E-03
-287.500E-03,+34.990E-03,+61.663E-03,+451.715E-03,-5.879E-03
-285.000E-03,+34.990E-03,+61.663E-03,+476.552E-03,+25.000E-03
-282.500E-03,+19.015E-03,+44.165E-03,+466.393E-03,+42.498E-03
-280.000E-03,+10.379E-03,+28.190E-03,+459.280E-03,+25.000E-03
-277.500E-03,+34.990E-03,+61.437E-03,+484.117E-03,+25.000E-03
-275.000E-03,+34.990E-03,+53.253E-03,+483.891E-03,+25.000E-03
-272.500E-03,+34.990E-03,+44.617E-03,+466.845E-03,+25.000E-03
-270.000E-03,+1.517E-03,+61.663E-03,+509.573E-03,+25.000E-03
-267.500E-03,+34.144E-03,+60.818E-03,+483.891E-03,+24.155E-03
-265.000E-03,+10.998E-03,+52.182E-03,+474.410E-03,+15.519E-03
-262.500E-03,+19.634E-03,+61.663E-03,+450.418E-03,+25.000E-03
-260.000E-03,+28.270E-03,+34.910E-03,+457.138E-03,+25.000E-03
-257.500E-03,+34.990E-03,+30.107E-03,+450.418E-03,-8.473E-03
-255.000E-03,+34.990E-03,+49.295E-03,+483.891E-03,+35.552E-03
-252.500E-03,+20.705E-03,+61.663E-03,+483.891E-03,+25.000E-03
-250.000E-03,+29.341E-03,+33.839E-03,+483.891E-03,+19.351E-03
-247.500E-03,+7.492E-03,+61.663E-03,+453.406E-03,+22.013E-03
-245.000E-03,+1.517E-03,+50.040E-03,+483.891E-03,+13.377E-03
-242.500E-03,+14.730E-03,+41.404E-03,+483.891E-03,+25.000E-03
-240.000E-03,+6.094E-03,+32.768E-03,+479.314E-03,+25.000E-03
-237.500E-03,+30.931E-03,+28.190E-03,+454.477E-03,-4.414E-03
-235.000E-03,+1.517E-03,+61.663E-03,+483.891E-03,+25.000E-03
-232.500E-03,+22.847E-03,+61.663E-03,+450.418E-03,+34.188E-03
-230.000E-03,+5.023E-03,+28.190E-03,+483.891E-03,+21.494E-03
-227.500E-03,+29.860E-03,+61.663E-03,+478.761E-03,+25.000E-03
-225.000E-03,+21.224E-03,+41.956E-03,+464.184E-03,+5.293E-03
-222.500E-03,+12.588E-03,+28.190E-03,+461.490E-03,+25.000E-03
-220.000E-03,+1.517E-03,+64.098E-03,+483.891E-03,+56.038E-03
-217.500E-03,+34.990E-03,+28.190E-03,+450.418E-03,-8.473E-03
-215.000E-03,+20.153E-03,+61.663E-03,+483.891E-03,+25.000E-03
-212.500E-03,+34.990E-03,+51.663E-03,+473.891E-03,+15.000E-03
-210.000E-03,+34.990E-03,+28.190E-03,+449.054E-03,+23.636E-03
-207.500E-03,+1.517E-03,+61.663E-03,+457.690E-03,+25.000E-03
-205.000E-03,+34.990E-03,+45.755E-03,+466.326E-03,-8.473E-03
-202.500E-03,+1.517E-03,+86.207E-03,+450.418E-03,+25.000E-03
-200.000E-03,+34.697E-03,+28.483E-03,+450.418E-03,+24.707E-03
-197.500E-03,+9.860E-03,+61.663E-03,+467.205E-03,-130E-06
-195.000E-03,+18.496E-03,+44.684E-03,+467.397E-03,+25.000E-03
-192.500E-03,+27.132E-03,+28.190E-03,+458.276E-03,-615E-06
-190.000E-03,+2.295E-03,+28.969E-03,+450.418E-03,-8.473E-03
-187.500E-03,+25.575E-03,+61.663E-03,+474.477E-03,+25.000E-03
-185.000E-03,+32.362E-03,+43.613E-03,+434.996E-03,+25.000E-03
-182.500E-03,+54.889E-03,+28.190E-03,+450.418E-03,+25.000E-03
-180.000E-03,+33.140E-03,+30.040E-03,+450.418E-03,+25.000E-03
-177.500E-03,+24.504E-03,+61.663E-03,+450.418E-03,+25.000E-03
-175.000E-03,+15.868E-03,+42.542E-03,+436.067E-03,+25.000E-03
-172.500E-03,+29.274E-03,+61.663E-03,+456.134E-03,+25.000E-03
-170.000E-03,+32.069E-03,+58.743E-03,+450.418E-03,-5.552E-03
-167.500E-03,+34.990E-03,+28.190E-03,+450.418E-03,-8.473E-03
-165.000E-03,+1.517E-03,+61.663E-03,+470.611E-03,+11.720E-03
-162.500E-03,+6.161E-03,+57.019E-03,+479.247E-03,+20.356E-03
-160.000E-03,+5.508E-03,+61.663E-03,+450.418E-03,+21.008E-03
-157.500E-03,+22.362E-03,+61.663E-03,+471.264E-03,+33.218E-03
-155.000E-03,-7.538E-03,+49.454E-03,+450.418E-03,+25.000E-03
-152.500E-03,+34.990E-03,+31.764E-03,+446.845E-03,-4.900E-03
-150.000E-03,+34.990E-03,+28.190E-03,+455.481E-03,+25.000E-03
-147.500E-03,+15.215E-03,+28.190E-03,+470.192E-03,+25.000E-03
-145.000E-03,+12.655E-03,+61.663E-03,+450.418E-03,+13.862E-03
-142.500E-03,+6.521E-03,+59.161E-03,+450.418E-03,+27.502E-03
-140.000E-03,+28.856E-03,+34.324E-03,+450.418E-03,+18.866E-03
-137.500E-03,+16.287E-03,+42.960E-03,+450.418E-03,+10.230E-03
-135.000E-03,+1.517E-03,+38.257E-03,+473.824E-03,+38.339E-03
-132.500E-03,+2.948E-03,+60.232E-03,+418.377E-03,+25.000E-03
-130.000E-03,+1.517E-03,+61.663E-03,+443.213E-03,+25.000E-03
-127.500E-03,+36.780E-03,+28.190E-03,+450.418E-03,+25.000E-03
-125.000E-03,+34.990E-03,+86.140E-03,+474.895E-03,+25.000E-03
-122.500E-03,+34.630E-03,+28.550E-03,+417.305E-03,-8.113E-03
-120.000E-03,+34.990E-03,+61.663E-03,+425.222E-03,+16.724E-03
-117.500E-03,+34.990E-03,+28.190E-03,+433.858E-03,+58.473E-03
-115.000E-03,+27.065E-03,+36.115E-03,+475.967E-03,-548E-06
-112.500E-03,+35.701E-03,+28.902E-03,+450.418E-03,+57.050E-03
-110.000E-03,+25.642E-03,+52.316E-03,+426.293E-03,+15.653E-03
-107.500E-03,+19.500E-03,+61.663E-03,+432.435E-03,+25.000E-03
-105.000E-03,+1.517E-03,+28.190E-03,+477.038E-03,+25.000E-03
-102.500E-03,+34.990E-03,+28.190E-03,+450.418E-03,+25.000E-03
-100.000E-03,+34.990E-03,+61.663E-03,+427.364E-03,+25.000E-03
-97.500E-03,+34.990E-03,+66.299E-03,+450.418E-03,+10.582E-03
-95.000E-03,+29.207E-03,+61.663E-03,+450.418E-03,+19.218E-03
-92.500E-03,+32.136E-03,+28.190E-03,+478.184E-03,+27.854E-03
-90.000E-03,+34.990E-03,+61.663E-03,+450.418E-03,+46.983E-03
-87.500E-03,+21.642E-03,+28.190E-03,+437.071E-03,+38.347E-03
-85.000E-03,+30.278E-03,+61.663E-03,+450.418E-03,-3.762E-03
-82.500E-03,+31.065E-03,+28.190E-03,+450.418E-03,+25.000E-03
-80.000E-03,+55.902E-03,+49.103E-03,+429.506E-03,+25.000E-03
-77.500E-03,+13.793E-03,+61.663E-03,+450.418E-03,+25.000E-03
-75.000E-03,+31.349E-03,+58.023E-03,+450.418E-03,+25.000E-03
-72.500E-03,+58.471E-03,+61.663E-03,+450.418E-03,+20.004E-03
-70.000E-03,+34.990E-03,+48.031E-03,+450.418E-03,+25.000E-03
-67.500E-03,+34.990E-03,+61.663E-03,+461.623E-03,+25.000E-03
-65.000E-03,+32.421E-03,+30.759E-03,+481.322E-03,+25.000E-03
-62.500E-03,+28.923E-03,+55.596E-03,+456.485E-03,-2.406E-03
-60.000E-03,+20.287E-03,+61.663E-03,+450.418E-03,+25.000E-03
-57.500E-03,+45.123E-03,+48.458E-03,+450.418E-03,+48.339E-03
-55.000E-03,+33.492E-03,+60.165E-03,+416.946E-03,+25.000E-03
-52.500E-03,+27.851E-03,+61.663E-03,+450.418E-03,+17.862E-03
-50.000E-03,+17.291E-03,+63.588E-03,+450.418E-03,+58.473E-03
-47.500E-03,+25.927E-03,+52.600E-03,+441.356E-03,+25.000E-03
-45.000E-03,+1.944E-03,+28.617E-03,+449.992E-03,+25.000E-03
-42.500E-03,+9.726E-03,+28.190E-03,+425.155E-03,+25.000E-03
-40.000E-03,+18.144E-03,+28.190E-03,+433.573E-03,-8.473E-03
