second,Volt1
-2.50000000E-03,+3.30325045716E+00
-2.49992320E-03,+3.30157681694E+00
-2.49984640E-03,+3.30157681694E+00
-2.49976960E-03,+3.30157679124E+00
-2.49969280E-03,+3.29822957078E+00
-2.49961600E-03,+3.30157677410E+00
-2.49953920E-03,+3.29822956221E+00
-2.49946240E-03,+3.29990320672E+00
-2.49938560E-03,+3.30157688550E+00
-2.49930880E-03,+3.30492394313E+00
-2.49923200E-03,+3.29822953651E+00
-2.49915520E-03,+3.29822972503E+00
-2.49907840E-03,+3.30492389172E+00
-2.49900160E-03,+3.29822964791E+00
-2.49892480E-03,+3.30157681694E+00
-2.49884800E-03,+3.30157662414E+00
-2.49877120E-03,+3.29655603339E+00
-2.49869440E-03,+3.29990310389E+00
-2.49861760E-03,+3.29822945939E+00
-2.49854080E-03,+3.29655589629E+00
-2.49846400E-03,+3.29655615336E+00
-2.49838720E-03,+3.30157681694E+00
-2.49831040E-03,+3.30157709972E+00
-2.49823360E-03,+3.30659724487E+00
-2.49815680E-03,+3.29822922802E+00
-2.49808000E-03,+3.29320904431E+00
-2.49800319E-03,+3.29990284253E+00
-2.49792639E-03,+3.29488260312E+00
-2.49784959E-03,+3.29990317672E+00
-2.49777279E-03,+3.29990305247E+00
-2.49769599E-03,+3.29822953651E+00
-2.49761919E-03,+3.29822927087E+00
-2.49754239E-03,+3.29488253028E+00
-2.49746559E-03,+3.29822953651E+00
-2.49738879E-03,+3.29822939083E+00
-2.49731199E-03,+3.29655619621E+00
-2.49723519E-03,+3.29990271400E+00
-2.49715839E-03,+3.29488241460E+00
-2.49708159E-03,+3.29655589629E+00
-2.49700479E-03,+3.29655639758E+00
-2.49692799E-03,+3.30157647418E+00
-2.49685119E-03,+3.29822971217E+00
-2.49677439E-03,+3.29990299677E+00
-2.49669759E-03,+3.29822990498E+00
-2.49662079E-03,+3.30157606287E+00
-2.49654399E-03,+3.29488206327E+00
-2.49646719E-03,+3.29320960130E+00
-2.49639039E-03,+3.30157601145E+00
-2.49631359E-03,+3.29488266739E+00
-2.49623679E-03,+3.29822911662E+00
-2.49615999E-03,+3.29488204185E+00
-2.49608319E-03,+3.29320927139E+00
-2.49600639E-03,+3.29822909092E+00
-2.49592959E-03,+3.29488316439E+00
-2.49585279E-03,+3.30157658558E+00
-2.49577599E-03,+3.29990246978E+00
-2.49569919E-03,+3.29488201614E+00
-2.49562239E-03,+3.29320934851E+00
-2.49554559E-03,+3.29822903950E+00
-2.49546879E-03,+3.29488276165E+00
-2.49539199E-03,+3.29822979358E+00
-2.49531519E-03,+3.29990265401E+00
-2.49523839E-03,+3.29655563065E+00
-2.49516159E-03,+3.29488198615E+00
-2.49508479E-03,+3.29320916427E+00
-2.49500799E-03,+3.29655617478E+00
-2.49493119E-03,+3.29822981929E+00
-2.49485439E-03,+3.29990174141E+00
-2.49477759E-03,+3.29153643238E+00
-2.49470079E-03,+3.29990258546E+00
-2.49462399E-03,+3.29655649612E+00
-2.49454719E-03,+3.29990195992E+00
-2.49447039E-03,+3.29320923283E+00
-2.49439359E-03,+3.29655527075E+00
-2.49431679E-03,+3.29321020113E+00
-2.49423999E-03,+3.30157617426E+00
-2.49416319E-03,+3.29822855963E+00
-2.49408638E-03,+3.29320993549E+00
-2.49400958E-03,+3.29990351092E+00
-2.49393278E-03,+3.30157580151E+00
-2.49385598E-03,+3.29655658181E+00
-2.49377918E-03,+3.29990248263E+00
-2.49370238E-03,+3.29655624762E+00
-2.49362558E-03,+3.29822918089E+00
-2.49354878E-03,+3.29655517649E+00
-2.49347198E-03,+3.29320898004E+00
-2.49339518E-03,+3.29488299301E+00
-2.49331838E-03,+3.29822879100E+00
-2.49324158E-03,+3.29488263311E+00
-2.49316478E-03,+3.29655513364E+00
-2.49308798E-03,+3.29320823025E+00
-2.49301118E-03,+3.29153575542E+00
-2.49293438E-03,+3.29488383278E+00
-2.49285758E-03,+3.30157562156E+00
-2.49278078E-03,+3.29655549354E+00
-2.49270398E-03,+3.29488347716E+00
-2.49262718E-03,+3.29990153147E+00
-2.49255038E-03,+3.29321027825E+00
-2.49247358E-03,+3.29990149719E+00
-2.49239678E-03,+3.29321031253E+00
-2.49231998E-03,+3.29990060601E+00
-2.49224318E-03,+3.28986220089E+00
-2.49216638E-03,+3.29321080096E+00
-2.49208958E-03,+3.30157549302E+00
-2.49201278E-03,+3.29655545070E+00
-2.49193598E-03,+3.29488270595E+00
-2.49185918E-03,+3.29655544213E+00
-2.49178238E-03,+3.29488271452E+00
-2.49170558E-03,+3.29655635902E+00
-2.49162878E-03,+3.29823000352E+00
-2.49155198E-03,+3.29990223413E+00
-2.49147518E-03,+3.29655446954E+00
-2.49139838E-03,+3.29153545550E+00
-2.49132158E-03,+3.29320910001E+00
-2.49124478E-03,+3.29488225607E+00
-2.49116798E-03,+3.29488127063E+00
-2.49109118E-03,+3.29153596965E+00
-2.49101438E-03,+3.29488175478E+00
-2.49093758E-03,+3.29320811028E+00
-2.49086078E-03,+3.29153446578E+00
-2.49078398E-03,+3.28986390614E+00
-2.49070718E-03,+3.29822694437E+00
-2.49063038E-03,+3.28986238084E+00
-2.49055358E-03,+3.29320914285E+00
-2.49047678E-03,+3.29488384992E+00
-2.49039998E-03,+3.29990317672E+00
-2.49032318E-03,+3.29990155717E+00
-2.49024638E-03,+3.29488171194E+00
-2.49016957E-03,+3.29321026111E+00
