s,v,i
5566,1.09568,3.04915e-05
5567,3.22409,3.46436e-05
5568,3.29993,1.89436e-05
5569,3.29988,3.87956e-05
5570,3.29998,1.81651e-05
5571,3.29985,1.38833e-05
5572,3.29979,9.99077e-06
5573,3.29978,1.34941e-05
5574,3.29993,3.16593e-05
5575,3.29989,3.72386e-05
5576,3.29991,3.45138e-05
5577,3.2998,2.15387e-05
5578,3.29995,3.0232e-05
5579,3.2999,2.77667e-05
5580,3.29998,1.49213e-05
5581,3.29992,2.77667e-05
5582,3.3,2.37444e-05
5583,3.29996,1.68676e-05
5584,3.29994,2.99725e-05
5585,3.29981,2.02412e-05
5586,3.29997,2.77667e-05
5587,3.29987,-4.80091e-06
5588,3.29992,1.63486e-05
5589,3.29996,2.72477e-05
5590,3.29976,3.04915e-05
5591,3.29991,3.50328e-05
5592,3.30011,3.1789e-05
5593,3.29985,2.45229e-05
5594,3.29993,3.43841e-05
5595,3.30002,3.32163e-05
5596,3.29992,2.24469e-05
5597,3.30001,2.56907e-05
5598,3.29991,3.20485e-05
5599,3.2999,2.47825e-05
5600,3.29992,3.47733e-05
5601,3.29991,2.67287e-05
5602,3.30005,2.15387e-05
5603,3.29996,2.9713e-05
5604,3.29984,2.69882e-05
5605,3.29992,1.31048e-05
5606,3.30011,4.42452e-05
5607,3.29989,2.6599e-05
5608,3.29994,2.21874e-05
5609,3.29975,1.88139e-05
5610,3.29987,2.88047e-05
5611,3.29989,2.68585e-05
5612,3.29988,3.76279e-05
5613,3.29994,4.60617e-05
5614,3.29988,3.08808e-05
5615,3.29998,2.78965e-05
5616,3.29991,3.54221e-05
5617,3.30005,2.58205e-05
5618,3.29993,1.33643e-05
5619,3.29991,2.73775e-05
5620,3.29991,3.45138e-05
5621,3.29987,2.73775e-05
5622,3.29988,3.76279e-05
5623,3.3,2.08899e-05
5624,3.29996,2.5561e-05
5625,3.29993,4.76187e-05
5626,3.30001,3.15295e-05
5627,3.29988,1.88139e-05
5628,3.29993,3.03618e-05
5629,3.29994,2.08899e-05
5630,3.29996,3.95741e-05
5631,3.30008,4.30774e-05
5632,3.30006,2.53014e-05
5633,3.30024,4.11311e-05
5634,3.29994,3.06213e-05
5635,3.29992,4.35964e-05
5636,3.29995,3.95741e-05
5637,3.29998,2.88048e-05
5638,3.29985,2.33552e-05
5639,3.29988,7.91474e-06
5640,3.29993,3.34758e-05
5641,3.29986,1.76461e-05
5642,3.2998,2.02411e-05
5643,3.29976,7.91474e-06
5644,3.3,1.62189e-05
5645,3.29989,2.21874e-05
5646,3.29984,2.53015e-05
5647,3.29991,2.5561e-05
5648,3.3,4.48939e-05
5649,3.30023,5.67013e-05
5650,3.29987,3.30866e-05
5651,3.29987,1.71271e-05
5652,3.30005,1.86841e-05
5653,3.29989,1.81651e-05
5654,3.29999,3.45138e-05
5655,3.29999,3.0232e-05
5656,3.29988,1.92032e-05
5657,3.29996,3.13998e-05
5658,3.29989,2.42634e-05
5659,3.29995,2.07602e-05
5660,3.29985,2.20577e-05
5661,3.29997,1.37536e-05
5662,3.29996,1.92031e-05
5663,3.29998,2.93237e-05
5664,3.29985,9.60153e-06
5665,3.30003,3.32163e-05
5666,3.29994,2.58205e-05
5667,3.29991,2.58205e-05
5668,3.29996,2.64692e-05
5669,3.2999,1.25858e-05
5670,3.29991,2.99725e-05
5671,3.29985,2.28362e-05
5672,3.29994,3.86659e-05
5673,3.29991,-3.89263e-06
5674,3.29992,9.4718e-06
5675,3.29978,2.68585e-05
5676,3.29973,2.28362e-05
5677,3.30002,2.33552e-05
5678,3.29988,7.65527e-06
5679,3.29986,8.43375e-06
5680,3.3,1.85544e-05
5681,3.30006,2.67287e-05
5682,3.30009,3.91849e-05
5683,3.29999,3.46436e-05
5684,3.30004,3.34758e-05
5685,3.29995,8.69324e-06
5686,3.30005,1.73866e-05
5687,3.30002,9.21228e-06
5688,3.29991,3.13998e-05
5689,3.2999,1.77759e-05
5690,3.29994,2.56907e-05
5691,3.29997,3.12701e-05
5692,3.29984,1.64784e-05
5693,3.29993,3.84063e-05
5694,3.29992,3.03618e-05
5695,3.30012,3.26973e-05
5696,3.2999,2.72477e-05
5697,3.29976,2.67287e-05
5698,3.29988,3.13998e-05
5699,3.29969,6.74699e-06
5700,3.29989,3.72386e-05
5701,3.30011,2.27064e-05
5702,3.29991,2.90642e-05
5703,3.2998,1.42726e-05
5704,3.29997,1.23263e-05
5705,3.29996,1.36238e-05
5706,3.29996,2.32254e-05
5707,3.29993,1.98519e-05
5708,3.29996,1.36238e-05
5709,3.29986,1.54404e-05
5710,3.29993,1.88139e-05
5711,3.29997,3.08808e-05
5712,3.29984,3.0751e-05
5713,3.30002,1.38833e-05
5714,3.29993,1.80354e-05
5715,3.29981,1.84246e-05
5716,3.29991,2.27064e-05
5717,3.29993,2.90642e-05
5718,3.29993,1.62189e-05
5719,3.29988,1.90734e-05
5720,3.29989,2.25767e-05
5721,3.29983,3.54221e-05
5722,3.29999,3.01023e-05
5723,3.29981,2.17982e-05
5724,3.30002,1.54403e-05
5725,3.30013,4.35964e-05
5726,3.29998,1.84246e-05
5727,3.30006,2.6599e-05
5728,3.29992,4.697e-05
5729,3.29993,4.10014e-05
5730,3.29989,2.01114e-05
5731,3.29998,2.49122e-05
5732,3.29989,5.96848e-06
5733,3.30004,2.30957e-05
5734,3.30015,4.59319e-05
5735,3.29988,2.21874e-05
5736,3.29997,2.77667e-05
5737,3.29996,2.85445e-06
5738,3.29986,3.04915e-05
5739,3.29999,1.16767e-06
5740,3.29997,1.32346e-05
5741,3.29984,2.9713e-05
5742,3.29993,3.24378e-05
5743,3.30003,2.29659e-05
5744,3.30002,5.28088e-05
5745,3.29987,6.48671e-07
5746,3.29977,7.0065e-06
5747,3.30005,3.06213e-05
5748,3.29994,2.5042e-05
5749,3.29993,6.35774e-06
5750,3.29999,2.56907e-05
5751,3.30002,4.10014e-05
5752,3.30001,1.51808e-05
5753,3.29995,3.59411e-05
5754,3.3002,4.38559e-05
5755,3.29979,-1.16785e-06
5756,3.29994,1.50511e-05
5757,3.29987,1.11586e-05
5758,3.30005,1.73866e-05
5759,3.29995,1.37536e-05
5760,3.29999,2.45229e-05
5761,3.2999,2.02412e-05
5762,3.30003,6.74699e-06
5763,3.29994,2.88048e-05
5764,3.30001,2.72477e-05
5765,3.30003,2.98428e-05
5766,3.29987,2.24469e-05
5767,3.30003,1.41428e-05
5768,3.29993,5.70898e-06
5769,3.29984,3.26973e-05
5770,3.3,2.33552e-05
5771,3.29989,3.41246e-05
5772,3.29994,2.16684e-05
5773,3.29995,1.59593e-05
5774,3.30007,2.03709e-05
5775,3.29999,2.64692e-05
5776,3.29994,8.17427e-06
5777,3.29992,7.65526e-06
5778,3.29995,3.36055e-05
5779,3.29988,1.49213e-05
5780,3.29998,1.0899e-05
5781,3.29989,2.06304e-05
5782,3.30008,2.72477e-05
5783,3.2999,1.82949e-05
5784,3.29998,1.81651e-05
5785,3.29992,1.75164e-05
5786,3.29979,-3.89369e-07
5787,3.30009,2.62097e-05
5788,3.30017,4.51534e-05
5789,3.29981,3.45138e-05
5790,3.30001,2.7118e-05
5791,3.30001,2.89345e-05
5792,3.2999,1.82949e-05
5793,3.30019,5.85179e-05
5794,3.29998,2.15387e-05
5795,3.29981,1.32346e-05
5796,3.29984,3.0232e-05
5797,3.29994,1.03793e-06
5798,3.29998,2.84155e-05
5799,3.29996,2.01114e-05
5800,3.30003,1.71271e-05
5801,3.29999,1.95924e-05
5802,3.29995,2.90642e-05
5803,3.29996,1.82949e-05
5804,3.29994,2.16684e-05
5805,3.30005,1.97221e-05
5806,3.2997,1.77759e-05
5807,3.29991,3.26973e-05
5808,3.29991,2.33544e-06
5809,3.29982,2.08899e-05
5810,3.29996,2.06304e-05
5811,3.30014,3.63303e-05
5812,3.29987,2.42634e-05
5813,3.29992,1.75164e-05
5814,3.29992,2.17982e-05
5815,3.29996,2.608e-05
5816,3.29991,2.33552e-05
5817,3.29989,3.1789e-05
5818,3.3,2.20577e-05
5819,3.29993,3.71088e-05
5820,3.30007,3.08808e-05
5821,3.29999,1.45321e-05
5822,3.29998,2.24469e-05
5823,3.29995,1.27156e-05
5824,3.29994,1.44023e-05
5825,3.29986,2.32254e-05
5826,3.29992,1.06395e-05
5827,3.30021,4.37262e-05
5828,3.29986,1.76461e-05
5829,3.29997,1.29751e-05
5830,3.3001,4.8527e-05
5831,3.29994,6.35772e-06
5832,3.29992,2.10197e-05
5833,3.29992,2.56907e-05
5834,3.29988,4.15204e-05
5835,3.29994,1.88139e-05
5836,3.30004,3.67196e-05
5837,3.29998,2.10197e-05
5838,3.30003,2.02412e-05
5839,3.29995,2.19279e-05
5840,3.29989,3.67196e-05
5841,3.29978,3.72386e-05
5842,3.29994,2.8156e-05
5843,3.29991,2.45229e-05
5844,3.29992,2.90643e-05
5845,3.30001,4.20394e-05
5846,3.2999,3.73683e-05
5847,3.29989,1.40131e-05
5848,3.29992,3.49031e-05
5849,3.29978,1.68676e-05
5850,3.29994,4.02229e-05
5851,3.29993,3.30866e-05
5852,3.29991,1.80354e-05
5853,3.29999,2.75072e-05
5854,3.29982,1.12883e-05
5855,3.29987,3.01023e-05
5856,3.29994,1.60891e-05
5857,3.30001,4.12609e-05
5858,3.29996,3.37353e-05
5859,3.29991,1.69974e-05
5860,3.29995,1.31048e-05
5861,3.29992,2.93238e-05
5862,3.3,1.90734e-05
5863,3.30001,2.7637e-05
5864,3.29998,7.65524e-06
5865,3.29996,1.71271e-05
5866,3.30004,2.37444e-05
5867,3.2999,2.15387e-05
5868,3.30008,5.78691e-05
5869,3.30007,2.62097e-05
5870,3.30003,4.15196e-06
5871,3.29993,2.16684e-05
5872,3.29994,3.2827e-05
5873,3.29996,2.78965e-05
5874,3.30003,2.72477e-05
5875,3.29997,2.34849e-05
5876,3.29981,1.23263e-05
5877,3.29988,3.30866e-05
5878,3.29991,2.32254e-05
5879,3.29996,2.42635e-05
5880,3.29991,2.36147e-05
5881,3.29982,2.62097e-05
5882,3.30009,4.30774e-05
5883,3.29996,2.32254e-05
5884,3.29996,2.9713e-05
5885,3.29991,3.76279e-05
5886,3.29996,2.16684e-05
5887,3.2998,8.04451e-06
5888,3.29988,3.67196e-05
5889,3.3,2.07602e-05
5890,3.29991,1.31048e-05
5891,3.29998,1.49213e-05
5892,3.30003,4.19097e-05
5893,3.30001,2.75072e-05
5894,3.29983,1.71271e-05
5895,3.29992,2.14089e-05
5896,3.29989,5.06022e-06
5897,3.29997,-3.24389e-06
5898,3.29991,2.7637e-05
5899,3.29998,2.27064e-05
5900,3.29983,1.16775e-05
5901,3.29988,3.04915e-05
5902,3.29995,4.26882e-05
5903,3.29984,3.49031e-05
5904,3.29995,2.62097e-05
5905,3.29997,1.41429e-05
5906,3.29997,1.34941e-05
5907,3.29998,8.56352e-06
5908,3.29989,4.78782e-05
5909,3.29999,2.37444e-05
5910,3.30002,5.73501e-05
5911,3.30008,3.51626e-05
5912,3.2999,4.38559e-05
5913,3.29998,2.67287e-05
5914,3.30007,2.28362e-05
5915,3.29989,3.74981e-05
5916,3.29995,3.47733e-05
5917,3.29997,1.72569e-05
5918,3.29983,1.64784e-05
5919,3.30009,4.19096e-05
5920,3.29987,9.60153e-06
5921,3.29994,2.67287e-05
5922,3.29989,2.89345e-05
5923,3.30001,3.41246e-05
5924,3.29996,2.50419e-05
5925,3.29993,1.98519e-05
5926,3.30015,3.42543e-05
5927,3.29993,2.33552e-05
5928,3.30003,2.98428e-05
5929,3.29997,1.36238e-05
5930,3.29989,2.72477e-05
5931,3.29996,2.28362e-05
5932,3.30001,3.15295e-05
5933,3.30002,2.51717e-05
5934,3.29987,3.26973e-05
5935,3.29996,1.63486e-05
5936,3.29986,4.80071e-06
5937,3.29995,2.77667e-05
5938,3.2999,2.33552e-05
5939,3.30001,1.77759e-05
5940,3.29989,2.608e-05
5941,3.29994,5.44949e-06
5942,3.29988,3.0232e-05
5943,3.29983,2.23172e-05
5944,3.29996,3.77576e-05
5945,3.29989,1.38833e-05
5946,3.29985,3.49031e-05
5947,3.30014,4.28179e-05
5948,3.29997,3.39948e-05
5949,3.30002,2.94535e-05
5950,3.30017,2.6599e-05
5951,3.29996,3.95741e-05
5952,3.29988,2.33552e-05
5953,3.30008,2.80262e-05
5954,3.29988,2.40039e-05
5955,3.29996,1.32346e-05
5956,3.3,3.127e-05
5957,3.29989,3.64601e-05
5958,3.29988,-2.20586e-06
5959,3.30002,1.55701e-05
5960,3.29996,3.63303e-05
5961,3.30001,2.75072e-05
5962,3.29991,2.08899e-05
5963,3.29988,3.21783e-05
5964,3.30007,2.11494e-05
5965,3.29992,2.02412e-05
5966,3.2999,3.24378e-05
5967,3.29994,1.32346e-05
5968,3.29993,3.85361e-05
5969,3.30001,1.86841e-05
5970,3.29999,2.4004e-05
5971,3.29988,2.42634e-05
5972,3.29995,3.34758e-05
5973,3.29999,2.05007e-05
5974,3.29993,2.08899e-05
5975,3.29994,2.63395e-05
5976,3.29989,2.8675e-05
5977,3.30001,2.08899e-05
5978,3.29991,2.28362e-05
5979,3.29987,1.76461e-05
5980,3.30016,1.58296e-05
5981,3.29996,2.9713e-05
5982,3.30001,2.49122e-05
5983,3.29991,9.99077e-06
5984,3.30001,3.72386e-05
5985,3.29985,2.42634e-05
5986,3.29991,3.06213e-05
5987,3.3,1.71271e-05
5988,3.29999,2.21875e-05
5989,3.29993,2.88048e-05
5990,3.29978,2.36147e-05
5991,3.3001,2.64692e-05
5992,3.29997,3.50328e-05
5993,3.30003,1.79056e-05
5994,3.29993,3.81469e-05
5995,3.30003,3.30866e-05
5996,3.29991,1.21965e-05
5997,3.29999,3.13998e-05
5998,3.29996,1.37536e-05
5999,3.29993,2.53015e-05
6000,3.29985,4.28179e-05
6001,3.29983,1.10288e-05
