s,v,i
5690,2.39561,1.9358e-06
5691,3.29882,-1.67724e-07
5692,3.3002,4.39385e-08
5693,3.30014,2.94222e-08
5694,3.30003,1.96576e-08
5695,3.30011,1.20834e-08
5696,3.29994,9.87392e-09
5697,3.30008,7.0752e-09
5698,3.30004,6.14863e-09
5699,3.30005,4.90845e-09
5700,3.30013,4.67562e-09
5701,3.29994,3.70628e-09
5702,3.30004,4.39527e-09
5703,3.29998,5.15554e-09
5704,3.30009,2.14774e-09
5705,3.30017,6.14863e-09
5706,3.30007,4.21471e-09
5707,3.29997,3.07431e-09
5708,3.30011,5.90154e-09
5709,3.30005,4.51406e-09
5710,3.30006,4.81342e-09
5711,3.3001,3.86309e-09
5712,3.30008,3.61125e-09
5713,3.30002,3.65402e-09
5714,3.30002,2.21427e-09
5715,3.30003,1.73435e-09
5716,3.30001,2.46135e-09
5717,3.3001,9.55081e-10
5718,3.30007,2.87475e-09
5719,3.30007,1.47301e-09
5720,3.29999,2.12399e-09
5721,3.30006,1.52528e-09
5722,3.30006,2.26653e-09
5723,3.29998,2.79872e-09
5724,3.29998,3.25013e-09
5725,3.30005,2.84624e-09
5726,3.29998,2.95077e-09
5727,3.30005,4.45229e-09
5728,3.30006,3.26913e-09
5729,3.30012,3.64926e-09
5730,3.30011,2.38057e-09
5731,3.29994,4.41428e-09
5732,3.30001,1.82463e-09
5733,3.3,3.48296e-09
5734,3.30011,2.70369e-09
5735,3.3,1.43025e-09
5736,3.30007,1.3067e-09
5737,3.29998,2.19526e-09
5738,3.30006,1.47301e-09
5739,3.30001,1.69634e-09
5740,3.30002,8.45793e-10
5741,3.3,8.31538e-10
5742,3.30006,1.6013e-09
5743,3.30006,2.77971e-09
5744,3.30004,2.25703e-09
5745,3.3,2.47561e-09
5746,3.30004,3.72054e-09
5747,3.30013,2.77971e-09
5748,3.3,2.24753e-09
5749,3.30005,3.05056e-09
5750,3.30009,4.29074e-09
5751,3.3,2.13824e-09
5752,3.29996,2.61341e-09
5753,3.29997,7.98277e-10
5754,3.29998,2.18101e-09
5755,3.30012,3.7633e-09
5756,3.30001,3.23112e-10
5757,3.30014,1.26869e-09
5758,3.30001,1.13564e-09
5759,3.30005,1.03586e-09
5760,3.30001,-3.27864e-10
5761,3.29999,3.45445e-09
5762,3.29992,-3.13609e-10
5763,3.30013,2.60865e-09
5764,3.30018,1.76761e-09
5765,3.30011,3.91536e-09
5766,3.30007,2.79872e-09
5767,3.29998,3.3309e-09
5768,3.3,2.72269e-09
5769,3.29999,3.12658e-09
5770,3.3001,2.99354e-09
5771,3.30014,2.69418e-09
5772,3.30007,3.89635e-09
5773,3.30016,2.42334e-09
5774,3.30006,1.2877e-09
5775,3.30007,1.24018e-09
5776,3.3001,2.58014e-09
5777,3.30016,4.75165e-11
5778,3.30004,2.57064e-09
5779,3.30005,3.89635e-10
5780,3.30007,5.17929e-10
5781,3.30004,1.67258e-09
5782,3.30002,2.53738e-09
5783,3.30004,1.7201e-09
5784,3.30016,1.84364e-09
5785,3.3,3.73955e-09
5786,3.30014,1.25443e-09
5787,3.30001,4.26698e-09
5788,3.30004,8.31538e-10
5789,3.30007,4.91795e-09
5790,3.29994,2.44235e-09
5791,3.30008,2.64191e-09
5792,3.29998,3.85358e-09
5793,3.30001,1.0216e-09
5794,3.30012,2.92701e-09
5795,3.30003,2.02895e-09
5796,3.29999,6.69982e-10
5797,3.30009,1.98619e-09
5798,3.30009,3.05056e-09
5799,3.3001,1.34472e-09
5800,3.30005,-4.18145e-10
5801,3.3,-1.71059e-10
5802,3.30002,1.68683e-09
5803,3.30001,3.64451e-09
5804,3.30014,6.9374e-10
5805,3.30013,4.58059e-09
5806,3.30007,1.90066e-10
5807,3.30001,5.03199e-09
5808,3.30003,2.23803e-09
5809,3.30012,3.1741e-09
5810,3.30005,2.01945e-09
5811,3.30003,4.07216e-09
5812,3.30009,2.88425e-09
5813,3.30012,1.43975e-09
