second,Volt1,Volt2,Volt3,Volt4
-6.060000E+00,+3.212253E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.058000E+00,+3.207502E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.056000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.054000E+00,+3.211065E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.052000E+00,+3.205774E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.050000E+00,+3.208042E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.048000E+00,+3.203939E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.046000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.044000E+00,+3.210202E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.042000E+00,+3.206206E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.040000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.038000E+00,+3.205882E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.036000E+00,+3.205883E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.034000E+00,+3.208905E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.032000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.030000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.028000E+00,+3.210092E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.026000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.024000E+00,+3.207068E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.022000E+00,+3.210310E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.020000E+00,+3.212146E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.018000E+00,+3.207287E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.016000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.014000E+00,+3.207285E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.012000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.010000E+00,+3.210308E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.008000E+00,+3.209770E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.006000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.004000E+00,+3.208148E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.002000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-6.000000E+00,+3.210418E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.998000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.996000E+00,+3.212469E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.994000E+00,+3.209121E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.992000E+00,+3.207176E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.990000E+00,+3.205774E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.988000E+00,+3.208043E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.986000E+00,+3.209879E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.984000E+00,+3.207282E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.982000E+00,+3.209019E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
-5.980000E+00,+3.212039E+00,+2.994895E+00,+2.994895E+00,+2.994895E+00
