second,Volt1,Volt2,Volt3,Volt4
-6.0600000E+00,+3.2050209E+00,+41.8411E-03,-7.2887E-03,+9.4477E-03
-6.0596000E+00,+3.1931441E+00,+41.8411E-03,+2.4298E-03,+25.1047E-03
-6.0592000E+00,+3.1931427E+00,+52.6384E-03,+2.4292E-03,+14.3073E-03
-6.0588000E+00,+3.2050209E+00,+42.9212E-03,+8.3683E-03,+8.3683E-03
-6.0584000E+00,+3.2050209E+00,+41.8411E-03,+4.5895E-03,+8.3683E-03
-6.0580000E+00,+3.2050209E+00,+41.8411E-03,-8.3681E-03,+17.0059E-03
-6.0576000E+00,+3.1915243E+00,+28.3445E-03,+5.1284E-03,+11.6081E-03
-6.0572000E+00,+3.2201382E+00,+26.7237E-03,-8.3681E-03,+9.9873E-03
-6.0568000E+00,+3.2050209E+00,+35.3631E-03,-8.3681E-03,+25.1047E-03
-6.0564000E+00,+3.2050209E+00,+25.1047E-03,+2.9688E-03,+13.7677E-03
-6.0560000E+00,+3.2050209E+00,+25.1047E-03,+8.3683E-03,+8.3683E-03
-6.0556000E+00,+3.2050209E+00,+37.5227E-03,+8.3683E-03,+12.6866E-03
-6.0552000E+00,+3.2050209E+00,+34.2819E-03,+17.5455E-03,+15.9274E-03
-6.0548000E+00,+3.1909847E+00,+27.8049E-03,+11.0685E-03,+8.3683E-03
-6.0544000E+00,+3.1904431E+00,+27.2633E-03,-8.3681E-03,+25.1047E-03
-6.0540000E+00,+3.2050209E+00,+41.8411E-03,-8.3681E-03,+18.0871E-03
-6.0536000E+00,+3.2050209E+00,+29.9646E-03,-8.3681E-03,+20.2447E-03
-6.0532000E+00,+3.2050209E+00,+25.1047E-03,+25.1026E-03,+8.3693E-03
-6.0528000E+00,+3.2098788E+00,+25.1047E-03,-8.3681E-03,+8.3683E-03
-6.0524000E+00,+3.2023237E+00,+34.8215E-03,+1.3487E-03,+8.3683E-03
-6.0520000E+00,+3.2028602E+00,+27.2653E-03,+8.3683E-03,+22.9440E-03
-6.0516000E+00,+3.2163608E+00,+55.8792E-03,+5.6700E-03,+22.4064E-03
-6.0512000E+00,+3.2033988E+00,+41.8411E-03,-8.3681E-03,+8.3683E-03
-6.0508000E+00,+3.2217573E+00,+41.8411E-03,+4.0479E-03,+33.2004E-03
-6.0504000E+00,+3.2050209E+00,+25.6432E-03,-7.8296E-03,+8.9068E-03
-6.0500000E+00,+3.2050209E+00,+36.4436E-03,+8.3683E-03,+19.7072E-03
-6.0496000E+00,+3.1947645E+00,+35.3611E-03,+8.3683E-03,+18.6247E-03
-6.0492000E+00,+3.2033998E+00,+41.8411E-03,-6.7471E-03,+25.1047E-03
-6.0488000E+00,+3.2050209E+00,+41.8411E-03,+8.3683E-03,+21.8668E-03
-6.0484000E+00,+3.1969242E+00,+41.8411E-03,+16.4650E-03,+8.3683E-03
-6.0480000E+00,+3.2012401E+00,+28.8854E-03,-806.6E-06,+21.3239E-03
-6.0476000E+00,+3.2039427E+00,+26.1828E-03,-7.2900E-03,+25.1047E-03
-6.0472000E+00,+3.1942216E+00,+35.9040E-03,+8.3683E-03,+25.1047E-03
-6.0468000E+00,+3.2050209E+00,+35.9006E-03,+8.3683E-03,+25.1047E-03
-6.0464000E+00,+3.2050209E+00,+26.1862E-03,+8.3683E-03,+9.4498E-03
-6.0460000E+00,+3.2179799E+00,+41.8411E-03,-4.5907E-03,+12.1457E-03
-6.0456000E+00,+3.2050209E+00,+33.2047E-03,-268.1E-06,+16.4683E-03
-6.0452000E+00,+3.2050209E+00,+11.6094E-03,-8.3681E-03,+8.3683E-03
-6.0448000E+00,+3.1882845E+00,+41.8411E-03,+8.3683E-03,+9.9860E-03
-6.0444000E+00,+3.1882845E+00,+35.3644E-03,+8.3683E-03,+25.1047E-03
-6.0440000E+00,+3.1882845E+00,+25.1047E-03,+8.3683E-03,+25.1047E-03
-6.0436000E+00,+3.2044790E+00,+41.2991E-03,+8.3683E-03,+8.9102E-03
-6.0432000E+00,+3.2131233E+00,+29.4216E-03,+8.3683E-03,+25.1047E-03
-6.0428000E+00,+3.1974604E+00,+32.6652E-03,-807.6E-06,+15.9288E-03
-6.0424000E+00,+3.2190557E+00,+25.1047E-03,-8.3681E-03,+22.4031E-03
-6.0420000E+00,+3.2196000E+00,+12.6829E-03,-8.3681E-03,+10.5256E-03
-6.0416000E+00,+3.1980047E+00,+34.8248E-03,-1.3519E-03,+18.0884E-03
-6.0412000E+00,+3.2001596E+00,+36.9798E-03,-3.5069E-03,+20.2434E-03
-6.0408000E+00,+3.2050209E+00,+25.1070E-03,-8.3681E-03,+8.3706E-03
-6.0404000E+00,+3.2001643E+00,+36.9845E-03,-3.5116E-03,+18.0814E-03
-6.0400000E+00,+3.1980000E+00,+25.1047E-03,+8.3683E-03,+22.4101E-03
-6.0396000E+00,+3.2050209E+00,+25.1047E-03,-6.2061E-03,+22.9426E-03
-6.0392000E+00,+3.2163635E+00,+39.1442E-03,+5.6713E-03,+25.1047E-03
-6.0388000E+00,+3.1958403E+00,+25.1047E-03,-8.3681E-03,+25.1047E-03
-6.0384000E+00,+3.2050209E+00,+37.5194E-03,-8.3681E-03,+25.1047E-03
-6.0380000E+00,+3.1893590E+00,+41.3038E-03,+24.5674E-03,+24.5674E-03
-6.0376000E+00,+3.2163611E+00,+30.5008E-03,+8.3683E-03,+13.7644E-03
-6.0372000E+00,+3.2050209E+00,+31.5860E-03,+18.6233E-03,+14.8496E-03
-6.0368000E+00,+3.1899069E+00,+40.2186E-03,+9.9907E-03,+23.4822E-03
-6.0364000E+00,+3.2050209E+00,+41.8411E-03,-1.8952E-03,+25.1047E-03
-6.0360000E+00,+3.2050209E+00,+33.7457E-03,+17.0093E-03,+17.0093E-03
-6.0356000E+00,+3.1920666E+00,+25.1047E-03,+8.3683E-03,+21.3226E-03
-6.0352000E+00,+3.2050209E+00,+40.7642E-03,+7.2914E-03,+25.1047E-03
-6.0348000E+00,+3.2109566E+00,+25.1047E-03,-8.3681E-03,+19.1689E-03
-6.0344000E+00,+3.2109626E+00,+25.1047E-03,+2.4265E-03,-2.4264E-03
-6.0340000E+00,+3.2206744E+00,+25.1047E-03,+8.3683E-03,+7.2854E-03
-6.0336000E+00,+3.2087970E+00,+25.1047E-03,+8.3683E-03,+25.1047E-03
-6.0332000E+00,+3.2131223E+00,+42.3746E-03,+8.3683E-03,+25.1047E-03
-6.0328000E+00,+3.2050209E+00,+31.5897E-03,-5.1256E-03,+25.1047E-03
-6.0324000E+00,+3.2050209E+00,+26.7211E-03,+6.7519E-03,+23.4883E-03
-6.0320000E+00,+3.2114962E+00,+41.8411E-03,-8.3681E-03,+14.8436E-03
-6.0316000E+00,+3.1990888E+00,+30.5068E-03,-8.3681E-03,+25.1047E-03
-6.0312000E+00,+3.2044776E+00,+25.1047E-03,+7.8250E-03,+8.9115E-03
-6.0308000E+00,+3.2050209E+00,+41.8411E-03,+8.3683E-03,+20.7890E-03
-6.0304000E+00,+3.2050209E+00,+32.6665E-03,+8.3683E-03,+17.5428E-03
-6.0300000E+00,+3.1909874E+00,+53.1716E-03,+8.3683E-03,+25.1047E-03
-6.0296000E+00,+3.2028649E+00,+25.1047E-03,+8.3683E-03,-4.0562E-03
-6.0292000E+00,+3.1952994E+00,+18.0898E-03,+8.3683E-03,+25.1047E-03
-6.0288000E+00,+3.1931471E+00,+43.9897E-03,+8.3683E-03,+25.1047E-03
-6.0284000E+00,+3.2050172E+00,+25.1120E-03,+8.3683E-03,+8.3719E-03
-6.0280000E+00,+3.2050209E+00,+36.9858E-03,+8.3683E-03,+20.2494E-03
-6.0276000E+00,+3.2050209E+00,+34.8188E-03,+8.3683E-03,+18.0824E-03
-6.0272000E+00,+3.1904478E+00,+41.8411E-03,+8.3683E-03,+10.5316E-03
-6.0268000E+00,+3.1909801E+00,+27.8002E-03,+8.3683E-03,+25.1047E-03
-6.0264000E+00,+3.2050209E+00,+41.8411E-03,+813.8E-06,+25.1047E-03
-6.0260000E+00,+3.2174343E+00,+17.0143E-03,+4.0452E-03,+12.6913E-03
-6.0256000E+00,+3.2044850E+00,+41.8411E-03,-7.8322E-03,+24.5688E-03
-6.0252000E+00,+3.1936793E+00,+41.8411E-03,+13.7631E-03,+8.3683E-03
-6.0248000E+00,+3.2050209E+00,+41.8411E-03,+4.5972E-03,+18.6220E-03
-6.0244000E+00,+3.1899083E+00,+41.8411E-03,+6.7445E-03,+40.2173E-03
-6.0240000E+00,+3.2050209E+00,+38.6059E-03,+5.1331E-03,+21.8695E-03
-6.0236000E+00,+3.2050209E+00,+25.1047E-03,-8.3681E-03,+16.4623E-03
-6.0232000E+00,+3.1920679E+00,+38.0576E-03,-8.3681E-03,+25.1047E-03
-6.0228000E+00,+3.2039454E+00,+40.7656E-03,+7.2928E-03,+8.3683E-03
-6.0224000E+00,+3.1942189E+00,+25.1047E-03,+3.5006E-03,+8.3683E-03
-6.0220000E+00,+3.1942276E+00,+25.1047E-03,+3.5180E-03,+8.3683E-03
-6.0216000E+00,+3.2039367E+00,+40.7569E-03,-8.3681E-03,+8.3683E-03
-6.0212000E+00,+3.1920592E+00,+38.0663E-03,+4.5935E-03,+12.1430E-03
-6.0208000E+00,+3.2050209E+00,+25.1047E-03,-8.3681E-03,+16.4710E-03
-6.0204000E+00,+3.1915283E+00,+38.5972E-03,-8.3681E-03,+8.3683E-03
-6.0200000E+00,+3.2050209E+00,+40.2260E-03,+8.3683E-03,+8.3683E-03
-6.0196000E+00,+3.2050209E+00,+31.5786E-03,+8.3683E-03,+14.8422E-03
-6.0192000E+00,+3.1936880E+00,+41.8411E-03,+8.3683E-03,+13.7718E-03
-6.0188000E+00,+3.2044763E+00,+41.8411E-03,+8.3683E-03,+24.5601E-03
-6.0184000E+00,+3.2093352E+00,+29.4190E-03,+8.3683E-03,+20.7903E-03
-6.0180000E+00,+3.2125841E+00,+32.6678E-03,+8.3683E-03,+17.5415E-03
-6.0176000E+00,+3.2050209E+00,+25.1047E-03,+8.3683E-03,+25.1047E-03
-6.0172000E+00,+3.2050209E+00,+41.8411E-03,-4.0589E-03,+22.9500E-03
-6.0168000E+00,+3.2050209E+00,+34.8275E-03,+18.0911E-03,+15.3818E-03
-6.0164000E+00,+3.2050209E+00,+25.1047E-03,-3.5042E-03,+25.1047E-03
-6.0160000E+00,+3.1882895E+00,+41.8360E-03,-8.3681E-03,+8.3733E-03
-6.0156000E+00,+3.2050209E+00,+25.1047E-03,+3.5144E-03,+8.3683E-03
-6.0152000E+00,+3.1953081E+00,+25.1047E-03,+11.0575E-03,+8.3683E-03
-6.0148000E+00,+3.2028562E+00,+25.1047E-03,+10.5329E-03,+8.3683E-03
-6.0144000E+00,+3.2050209E+00,+39.1468E-03,-5.6739E-03,+8.3683E-03
-6.0140000E+00,+3.2050209E+00,+25.1047E-03,+815.1E-06,+15.9214E-03
-6.0136000E+00,+3.1926088E+00,+12.6926E-03,+4.0439E-03,+25.1047E-03
-6.0132000E+00,+3.2044863E+00,+25.1047E-03,+8.3683E-03,+25.1047E-03
-6.0128000E+00,+3.1936780E+00,+25.1047E-03,-2.4187E-03,+19.7112E-03
-6.0124000E+00,+3.2152733E+00,+25.1047E-03,-14.8522E-03,+18.6206E-03
-6.0120000E+00,+3.2066460E+00,+55.3272E-03,+6.7431E-03,+25.1047E-03
-6.0116000E+00,+3.2185235E+00,+28.3385E-03,-8.3681E-03,+11.6021E-03
-6.0112000E+00,+3.2050209E+00,+41.8411E-03,-275.4E-06,+17.0119E-03
-6.0108000E+00,+3.2179725E+00,+28.8894E-03,+8.3683E-03,+8.3683E-03
-6.0104000E+00,+3.2050209E+00,+25.1047E-03,-6.2199E-03,+8.3683E-03
-6.0100000E+00,+3.1990878E+00,+31.0377E-03,+19.1716E-03,+14.3013E-03
-6.0096000E+00,+3.1882845E+00,+31.0491E-03,+8.3683E-03,+25.1047E-03
-6.0092000E+00,+3.2039354E+00,+40.7555E-03,+8.3683E-03,+9.4538E-03
-6.0088000E+00,+3.1920579E+00,+25.1047E-03,-8.3681E-03,+12.1416E-03
-6.0084000E+00,+3.2050209E+00,+33.7370E-03,+264.2E-06,+7.8401E-03
-6.0080000E+00,+3.2050209E+00,+14.8586E-03,-5.1230E-03,+5.1231E-03
-6.0076000E+00,+3.2034072E+00,+26.7184E-03,+6.7545E-03,+9.9820E-03
-6.0072000E+00,+3.1947571E+00,+35.3684E-03,-1.8955E-03,+18.6320E-03
-6.0068000E+00,+3.2050209E+00,+25.1047E-03,-2.9633E-03,+8.3683E-03
-6.0064000E+00,+3.2050209E+00,+41.2951E-03,-8.3681E-03,+8.3683E-03
-6.0060000E+00,+3.2050209E+00,+25.1047E-03,+4.0553E-03,+37.5281E-03
-6.0056000E+00,+3.1958490E+00,+34.2765E-03,-8.3681E-03,+15.9328E-03
-6.0052000E+00,+3.2023153E+00,+41.8411E-03,+5.6626E-03,+8.3683E-03
-6.0048000E+00,+3.2050209E+00,+25.1047E-03,-8.3681E-03,+25.1047E-03
-6.0044000E+00,+3.2120331E+00,+32.1169E-03,-8.3681E-03,+25.1047E-03
