s,v,i
2583,0.929409,3.56816e-05
2584,3.17824,1.99817e-05
2585,3.30001,3.58113e-05
2586,3.29989,2.58205e-05
2587,3.30002,1.58296e-05
2588,3.29995,1.33643e-05
2589,3.30001,1.44023e-05
2590,3.30006,2.99725e-05
2591,3.29995,9.99078e-06
2592,3.29984,9.21227e-06
2593,3.29993,4.80074e-06
2594,3.29991,2.93237e-05
2595,3.29997,3.08808e-05
2596,3.29993,3.59411e-05
2597,3.29978,1.67378e-05
2598,3.29987,2.7637e-05
2599,3.3001,2.78965e-05
2600,3.29979,2.69882e-05
2601,3.29995,-1.29762e-06
2602,3.29988,2.58205e-05
2603,3.29997,3.47733e-05
2604,3.29976,1.99817e-05
2605,3.29997,1.60891e-05
2606,3.30008,2.89345e-05
2607,3.2999,3.47733e-05
2608,3.29994,1.05098e-05
2609,3.29994,3.30866e-05
2610,3.29987,3.04915e-05
2611,3.29992,2.51717e-05
2612,3.29995,3.89254e-05
2613,3.29971,1.01205e-05
2614,3.29993,1.81651e-05
2615,3.29985,1.54404e-05
2616,3.2999,1.53106e-05
2617,3.3,3.26973e-05
2618,3.29994,3.68493e-05
2619,3.29999,1.58296e-05
2620,3.29986,9.21228e-06
2621,3.29999,1.44023e-05
2622,3.30002,4.06121e-05
2623,3.29998,2.94535e-05
2624,3.29996,1.93329e-05
2625,3.29987,2.23172e-05
2626,3.29991,1.64784e-05
2627,3.2999,1.12883e-05
2628,3.29991,2.7118e-05
2629,3.29995,1.77759e-05
2630,3.29987,1.59594e-05
2631,3.29983,1.11585e-05
2632,3.29993,2.95833e-05
2633,3.29988,1.37536e-05
2634,3.29993,4.07419e-05
2635,3.29986,2.69882e-05
2636,3.2999,3.76279e-05
2637,3.29996,3.08808e-05
2638,3.29982,2.59502e-05
2639,3.29991,2.25767e-05
2640,3.30013,2.43932e-05
2641,3.29992,1.33643e-05
2642,3.29999,3.30865e-05
2643,3.29998,2.4523e-05
2644,3.3,3.78873e-05
2645,3.29984,2.16684e-05
2646,3.30003,3.62006e-05
2647,3.29992,2.5561e-05
2648,3.29993,2.5042e-05
2649,3.29987,2.38742e-05
2650,3.30002,3.89253e-05
2651,3.2999,3.11403e-05
2652,3.29994,2.53014e-05
