t, t_rel, V_sys, V_bat, V_in, lux
2019-11-14 15:34:28.613858, 0.000000, 3.442399, 3.442414, 0.100210, 0.000000
2019-11-14 15:34:29.915721, 1.295811, 3.442393, 3.442407, 0.098690, 0.000000
2019-11-14 15:34:31.265346, 2.597674, 3.442384, 3.442401, 0.097182, 0.000000
2019-11-14 15:34:32.562522, 3.947299, 3.442382, 3.442394, 0.095860, 0.000000
2019-11-14 15:34:33.892219, 5.254521, 3.442372, 3.442388, 0.094629, 0.000000
2019-11-14 15:34:35.217730, 6.574173, 3.442368, 3.442382, 0.093505, 0.000000
2019-11-14 15:34:36.508777, 7.899683, 3.442362, 3.442376, 0.092499, 0.000000
2019-11-14 15:34:37.835856, 9.190730, 3.442357, 3.442370, 0.091556, 0.000000
2019-11-14 15:34:39.154904, 10.517809, 3.442350, 3.442364, 0.090714, 0.000000
2019-11-14 15:34:40.454403, 11.836858, 3.442345, 3.442358, 0.089906, 0.000000
2019-11-14 15:34:41.777024, 13.136356, 3.442341, 3.442350, 0.087477, 0.000000
2019-11-14 15:34:43.097282, 14.458978, 3.442333, 3.441979, 0.087586, 0.000000
2019-11-14 15:34:44.396007, 15.779236, 3.441873, 3.442320, 0.086448, 0.000000
2019-11-14 15:34:45.766407, 17.077961, 3.442297, 3.442335, 0.085566, 0.000000
2019-11-14 15:34:47.064552, 18.448361, 3.442316, 3.442329, 0.094644, 0.000000
2019-11-14 15:34:48.431662, 19.746505, 3.442307, 3.442324, 0.085236, 0.000000
2019-11-14 15:34:49.730046, 21.113616, 3.442303, 3.442319, 0.084572, 0.000000
2019-11-14 15:34:51.058907, 22.411999, 3.442297, 2.717099, -0.043816, 0.000000
2019-11-14 15:34:52.376755, 23.740861, 2.308453, 2.679721, 0.043582, 0.000000
2019-11-14 15:34:53.676250, 25.058708, 2.387360, 2.676494, 0.048893, 0.000000
2019-11-14 15:34:55.046423, 26.358203, 2.407004, 2.670390, 0.053070, 0.000000
2019-11-14 15:34:56.343925, 27.728376, 2.381132, 2.655802, 0.056093, 0.000000
2019-11-14 15:34:57.672333, 29.025878, 2.385722, 2.636551, 0.058571, 0.000000
2019-11-14 15:34:58.991374, 30.354286, 2.345870, 2.644641, 0.060749, 0.000000
2019-11-14 15:35:00.291404, 31.673327, 2.344059, 2.636419, 0.062532, 0.000000
2019-11-14 15:35:01.611589, 32.973358, 2.339419, 2.621762, 0.064025, 0.000000
2019-11-14 15:35:02.929356, 34.293543, 2.323976, 2.597741, 0.064963, 0.000000
2019-11-14 15:35:04.275522, 35.621062, 2.325951, 2.584182, 0.066183, 0.000000
2019-11-14 15:35:05.605026, 36.957475, 2.294306, 2.580321, 0.066965, 0.000000
2019-11-14 15:35:06.904098, 38.286979, 2.291864, 2.601417, 0.022660, 0.000000
