t, t_rel, V_sys, V_bat, V_in, lux
2019-11-13 18:00:41.736835, 0.000000, 0.000024, 3.427214, 0.042084, 0.000000
2019-11-13 18:00:43.057138, 1.294863, 0.000021, 3.427212, 0.042654, 0.000000
2019-11-13 18:00:44.347083, 2.615167, 0.000023, 3.427208, 0.043103, 0.000000
2019-11-13 18:00:45.717120, 3.905111, 0.000019, 3.427207, 0.043442, 0.000000
2019-11-13 18:00:47.017109, 5.275148, 0.000023, 3.427204, 0.043555, 0.000000
2019-11-13 18:00:48.337161, 6.575137, 0.000021, 3.429450, 0.043605, 0.000000
2019-11-13 18:00:49.647167, 7.895190, 0.000019, 3.427114, 0.043611, 0.000000
2019-11-13 18:00:50.947161, 9.205195, 0.000018, 3.436952, 0.039856, 0.000000
2019-11-13 18:00:52.247067, 10.505190, 0.000021, 3.427203, 0.045450, 0.000000
2019-11-13 18:00:53.557181, 11.805096, 0.000020, 3.427179, 0.039224, 0.000000
2019-11-13 18:00:54.877185, 13.115210, 0.000019, 3.430720, 0.042716, 0.000000
2019-11-13 18:00:56.177234, 14.435214, 0.000019, 3.427081, 0.042408, 0.000000
2019-11-13 18:00:57.496896, 15.735263, 0.000020, 3.426750, 0.042228, 0.000000
2019-11-13 18:00:58.827254, 17.054925, 0.000019, 2.510829, 0.044634, 0.000000
2019-11-13 18:01:00.129454, 18.385283, 2.098491, 2.646362, 0.041745, 0.000000
2019-11-13 18:01:01.439487, 19.687483, 2.199902, 2.591871, 0.041891, 0.000000
2019-11-13 18:01:02.769440, 20.997516, 2.204250, 2.618769, 0.042025, 0.000000
2019-11-13 18:01:04.069227, 22.327469, 2.230186, 2.612667, 0.042121, 0.000000
2019-11-13 18:01:05.449451, 23.627256, 2.197915, 2.616736, 0.042189, 0.000000
2019-11-13 18:01:06.779529, 25.007479, 2.201018, 2.608678, 0.042231, 0.000000
2019-11-13 18:01:08.099210, 26.337558, 2.170444, 2.597881, 0.042015, 0.000000
2019-11-13 18:01:09.399256, 27.657239, 2.174243, 2.582959, 0.042168, 0.000000
2019-11-13 18:01:10.719477, 28.957285, 2.157926, 2.601752, 0.042209, 0.000000
2019-11-13 18:01:12.049543, 30.277506, 2.132021, 2.593961, 0.042059, 0.000000
2019-11-13 18:01:13.349260, 31.607572, 2.163203, 2.562571, 0.042255, 0.000000
2019-11-13 18:01:14.661034, 32.907289, 2.109471, 2.574407, 0.042215, 0.000000
2019-11-13 18:01:15.991043, 34.228907, 2.124084, 2.564866, 0.042426, 0.000000
2019-11-13 18:01:17.301085, 35.549072, 2.130566, 2.535128, 0.042070, 0.000000
2019-11-13 18:01:18.660996, 36.859113, 2.120475, 2.546659, 0.041967, 0.000000
2019-11-13 18:01:19.951013, 38.219025, 2.086787, 2.551139, 0.041568, 0.000000
2019-11-13 18:01:21.330787, 39.509041, 2.114241, 2.516466, 0.041862, 0.000000
2019-11-13 18:01:22.621038, 40.888816, 2.061804, 2.549595, 0.041908, 0.000000
2019-11-13 18:01:23.941064, 42.179067, 2.102623, 2.532121, 0.039706, 0.000000
2019-11-13 18:01:25.273082, 43.508832, 2.088170, 2.526919, 0.041813, 0.000000
2019-11-13 18:01:26.563122, 44.831111, 2.081072, 2.486609, 0.041112, 0.000000
2019-11-13 18:01:27.983022, 46.121151, 2.064785, 2.501746, 0.041851, 0.000000
2019-11-13 18:01:29.373190, 47.541051, 2.019395, 2.463850, 0.041858, 0.000000
2019-11-13 18:01:30.723113, 48.931218, 2.065464, 2.491175, 0.041832, 0.000000
2019-11-13 18:01:32.013107, 50.281142, 2.041863, 2.488129, 0.041752, 0.000000
2019-11-13 18:01:33.433130, 51.571136, 2.034745, 2.469753, 0.041614, 0.000000
2019-11-13 18:01:34.773102, 52.991158, 2.018419, 2.512000, 0.041755, 0.000000
2019-11-13 18:01:36.063053, 54.331131, 2.107080, 2.495833, 0.041756, 0.000000
2019-11-13 18:01:37.462830, 55.621082, 2.023747, 2.460773, 0.041753, 0.000000
2019-11-13 18:01:38.803130, 57.020859, 1.976844, 2.446092, 0.041748, 0.000000
2019-11-13 18:01:40.113184, 58.361159, 2.086971, 2.450731, 0.041739, 0.000000
2019-11-13 18:01:41.422845, 59.671213, 2.048460, 2.417739, 0.041717, 0.000000
2019-11-13 18:01:42.733137, 60.980874, 0.014942, 3.150413, 0.041820, 0.000000
2019-11-13 18:01:44.062880, 62.291166, 0.000046, 3.151827, 0.041895, 0.000000
2019-11-13 18:01:45.353176, 63.620908, 0.000035, 3.152869, 0.041825, 0.000000
